,constructorId,constructorRef,name,nationality,url,color
194,197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,blue
195,198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),crimson
196,199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,cornflowerblue
197,200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,yellow
198,201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,yellow
199,202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,purple
200,203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,bisque
201,204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,turquoise
202,205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,cornflowerblue
203,206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,orange
204,207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,forestgreen
205,208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,fuschia
206,209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,bisque
207,210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,#787878
208,211,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,#F596C8
209,212,alpha_tauri,Scuderia Alpha Tauri,Italian,http://en.wikipedia.org/wiki/Scuderia_Alpha_Tauri,fuschia
210,213,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,#C8C8C8
